lat,lon,depth
-20.9973,-64.9863,345.0459
-21.0076,-64.8429,372.0590
-21.0119,-64.6737,397.4069
-21.0146,-64.4979,423.0232
-21.0214,-64.3527,451.9466
-21.0228,-64.1691,477.8371
-21.0218,-63.9741,502.7790
-21.0331,-63.8735,536.6336
-21.0351,-63.6901,564.6633
-21.0258,-63.4067,584.7375
-20.8346,-66.9076,225.3387
-20.8264,-66.6805,233.0523
-20.8034,-66.4104,234.7770
-20.7754,-66.1240,235.9839
-20.7535,-65.8525,241.8569
-20.7488,-65.6367,256.6358
-20.7330,-65.3835,267.5619
-20.7530,-65.2440,294.1518
-20.7774,-65.1220,322.9271
-20.7870,-64.9526,346.6392
-20.8000,-64.8000,372.9804
-20.8052,-64.6218,397.6408
-20.8119,-64.4520,423.8688
-20.8214,-64.2980,451.9999
-20.8208,-64.0987,476.4271
-20.8240,-63.9253,503.3459
-20.8395,-63.8231,537.1016
-20.8376,-63.6237,563.6950
-20.8181,-63.3104,580.8731
-20.6414,-66.9191,231.5105
-20.6292,-66.6815,237.8656
-20.6134,-66.4368,244.1034
-20.5506,-66.0637,232.6587
-20.5533,-65.8690,250.1785
-20.5497,-65.6596,265.9725
-20.5612,-65.4914,287.9131
-20.5714,-65.3189,309.7981
-20.5822,-65.1482,332.5226
-20.5912,-64.9731,355.4909
-20.6065,-64.8210,381.7504
-20.6085,-64.6288,404.9796
-20.6063,-64.4221,427.7893
-20.6165,-64.2596,455.1462
-20.6182,-64.0675,480.0706
-20.6227,-63.8927,506.8229
-20.6318,-63.7415,536.4890
-20.6298,-63.5420,562.6720
-20.6063,-63.2312,579.2712
-20.4268,-67.0792,216.5127
-20.4233,-66.8655,227.0981
-20.4057,-66.6155,232.3017
-20.3860,-66.3627,238.2872
-20.3708,-66.1226,247.6976
-20.3828,-65.9539,268.4636
-20.3821,-65.7527,285.1732
-20.4023,-65.6061,309.4231
-20.4142,-65.4377,331.2465
-20.4144,-65.2389,350.2081
-20.4217,-65.0605,372.3445
-20.4335,-64.8978,397.0132
-20.4237,-64.6718,416.7788
-20.4141,-64.4438,437.5554
-20.4211,-64.2664,463.4979
-20.4185,-64.0593,486.9460
-20.4262,-63.8915,514.0712
-20.4245,-63.6930,539.4949
-20.4268,-63.5089,566.4432
-20.4018,-63.2077,583.0918
-20.1342,-66.7997,173.9281
-20.1472,-66.6467,196.1956
-20.1625,-66.4950,218.7724
-20.1881,-66.3675,244.9804
-20.2334,-66.2902,277.8836
-20.2650,-66.1760,304.6597
-20.2541,-65.9443,316.6444
-20.2560,-65.7483,333.9650
-20.2648,-65.5717,354.2607
-20.2637,-65.3703,372.4525
-20.2568,-65.1553,390.2401
-20.2541,-64.9542,410.6690
-20.2443,-64.7293,430.4670
-20.2346,-64.5021,451.2630
-20.2346,-64.3029,475.2014
-20.2296,-64.0883,497.8899
-20.2189,-63.8603,519.5277
-20.2045,-63.6153,540.6681
-20.2255,-63.4920,572.2594
-19.9317,-66.7757,175.3005
-19.9338,-66.5917,192.9262
-19.9400,-66.4182,212.6623
-20.0452,-66.5334,274.8897
-20.1353,-66.5931,324.9425
-20.1659,-66.4802,349.5724
-20.1597,-66.2550,361.3050
-20.1229,-65.9461,364.1503
-20.1013,-65.6840,374.0967
-20.0989,-65.4786,391.6364
-20.0859,-65.2455,407.3445
-20.0598,-64.9764,420.9251
-20.0700,-64.8097,446.1995
-20.0587,-64.5758,466.4098
-20.0421,-64.3251,485.8211
-20.0325,-64.0954,507.1682
-20.0146,-63.8449,526.6456
-19.9953,-63.5849,546.1274
-20.0572,-63.5899,588.4158
-19.7214,-66.9254,156.2923
-19.7318,-66.7667,179.0650
-19.7247,-66.5558,192.9881
-19.7893,-66.5671,240.8863
-19.8272,-66.4791,272.3571
-19.9675,-66.6702,339.7509
-19.9940,-66.5342,361.4736
-20.0044,-66.3531,378.7727
-19.9682,-66.0510,382.7061
-19.9189,-65.7183,384.9292
-19.9137,-65.5066,402.0252
-19.8827,-65.2256,413.1458
-19.8554,-64.9556,427.1110
-19.8843,-64.8390,457.2661
-19.8833,-64.6345,480.3029
-19.8771,-64.4130,502.5015
-19.8542,-64.1460,520.7064
-19.8266,-63.8742,538.1032
-19.8156,-63.6449,559.9414
-19.8689,-63.6025,598.0436
-19.9034,-63.5048,631.4716
-19.5088,-66.8769,152.9625
-19.5189,-66.7157,176.1848
-19.5577,-66.6585,214.4596
-19.7224,-66.5463,328.4674
-19.8016,-66.5540,369.1444
-19.8107,-66.3655,386.1188
-19.7987,-66.1263,397.8419
-19.7542,-65.8064,401.8500
-19.7474,-65.5895,418.3864
-19.6723,-65.1922,418.0164
-19.6625,-64.9705,437.1126
-19.6877,-64.8397,466.1774
-19.6928,-64.6495,490.8027
-19.7011,-64.4643,516.4678
-19.7153,-64.2913,543.3430
-19.6627,-63.9621,555.4570
-19.6449,-63.7186,575.8198
-19.6721,-63.5927,606.5274
-19.7046,-63.4789,638.3113
-19.3737,-67.1076,195.9835
-19.3787,-66.9248,213.8360
-19.4146,-66.8502,247.7348
-19.5086,-66.7390,317.1927
-19.5187,-66.5534,334.3913
