dist,depth,avlon,avlat
40.6,5.7,80.8,29.7
40.7,5.8,80.8,29.7
40.8,5.8,80.8,29.7
40.9,5.8,80.8,29.7
41.0,5.8,80.8,29.7
41.1,5.8,80.8,29.7
41.2,5.8,80.8,29.7
41.3,5.8,80.8,29.7
41.4,5.8,80.8,29.7
41.5,5.8,80.8,29.7
41.6,5.8,80.8,29.7
41.7,5.8,80.8,29.7
41.8,5.8,80.8,29.7
41.9,5.8,80.8,29.7
42.0,5.8,80.8,29.7
42.1,5.8,80.8,29.7
42.2,5.8,80.8,29.7
42.3,5.8,80.8,29.7
42.4,6.1,80.8,29.7
42.5,6.1,80.8,29.7
42.6,6.0,80.8,29.7
42.7,6.0,80.8,29.7
42.8,6.0,80.8,29.7
42.9,6.0,80.8,29.7
43.0,6.0,80.8,29.7
43.1,5.9,80.8,29.7
43.2,5.9,80.8,29.7
43.3,5.8,80.8,29.7
43.4,5.8,80.8,29.7
43.5,5.8,80.8,29.7
43.6,5.9,80.8,29.7
43.7,5.9,80.8,29.7
43.8,5.9,80.8,29.7
43.9,5.9,80.8,29.7
44.0,6.0,80.8,29.7
44.1,6.0,80.8,29.7
44.2,6.0,80.8,29.7
44.3,6.0,80.8,29.7
44.4,6.1,80.8,29.7
44.5,6.1,80.8,29.7
44.6,6.1,80.8,29.7
44.7,6.1,80.8,29.7
44.8,6.1,80.8,29.7
44.9,6.2,80.8,29.7
45.0,6.2,80.8,29.7
45.1,6.2,80.8,29.7
45.2,6.2,80.8,29.7
45.3,6.2,80.8,29.7
45.4,6.2,80.8,29.7
45.5,6.1,80.8,29.7
45.6,6.1,80.8,29.7
45.7,6.0,80.8,29.7
45.8,6.0,80.8,29.7
45.9,6.1,80.8,29.7
46.0,6.1,80.8,29.7
46.1,6.2,80.8,29.7
46.2,6.2,80.8,29.7
46.3,6.3,80.8,29.7
46.4,6.3,80.8,29.7
46.5,6.4,80.8,29.7
46.6,6.5,80.8,29.7
46.7,6.6,80.8,29.7
46.8,6.7,80.8,29.7
46.9,6.8,80.8,29.7
47.0,6.9,80.8,29.7
47.1,7.0,80.8,29.7
47.2,7.1,80.8,29.7
47.3,7.1,80.8,29.7
47.4,7.2,80.8,29.7
47.5,7.3,80.8,29.7
47.6,7.4,80.8,29.7
47.7,7.3,80.8,29.7
47.8,7.3,80.8,29.7
47.9,7.3,80.8,29.7
48.0,7.3,80.8,29.7
48.1,7.2,80.8,29.7
48.2,7.2,80.8,29.7
48.3,7.2,80.8,29.7
48.4,7.2,80.8,29.7
48.5,7.3,80.8,29.7
48.6,7.4,80.8,29.7
48.7,7.5,80.8,29.7
48.8,7.6,80.8,29.7
48.9,7.6,80.8,29.7
49.0,7.7,80.8,29.7
49.1,7.7,80.8,29.7
49.2,7.7,80.8,29.7
49.3,7.7,80.8,29.7
49.4,7.7,80.8,29.7
49.5,7.8,80.8,29.7
49.6,7.8,80.8,29.7
49.7,7.8,80.8,29.7
49.8,7.8,80.8,29.7
49.9,7.6,80.8,29.7
50.0,7.7,80.8,29.7
50.1,7.8,80.8,29.7
50.2,7.8,80.8,29.7
50.3,7.9,80.8,29.7
50.4,8.0,80.8,29.7
50.5,8.1,80.8,29.7
50.6,8.2,80.8,29.7
50.7,8.2,80.8,29.7
50.8,8.3,80.8,29.7
50.9,8.4,80.8,29.7
51.0,8.5,80.8,29.7
51.1,8.6,80.8,29.7
51.2,8.6,80.8,29.7
51.3,8.7,80.8,29.7
51.4,8.8,80.8,29.7
51.5,8.9,80.8,29.7
51.6,9.0,80.8,29.7
51.7,9.1,80.8,29.7
51.8,9.2,80.8,29.7
51.9,9.3,80.8,29.7
52.0,9.4,80.8,29.7
52.1,9.4,80.8,29.7
52.2,9.4,80.8,29.7
52.3,9.4,80.8,29.7
52.4,9.4,80.8,29.7
52.5,9.5,80.8,29.7
52.6,9.5,80.8,29.7
52.7,9.5,80.8,29.7
52.8,9.5,80.8,29.7
52.9,9.5,80.8,29.7
53.0,9.5,80.8,29.7
