dist,depth,unc,AAID
38.70,10.12,5.57,437
38.80,10.13,5.57,438
38.90,10.15,5.58,439
39.00,10.17,5.58,440
39.10,10.17,5.57,441
39.20,10.18,5.56,442
39.30,10.19,5.55,443
39.40,10.19,5.54,444
39.50,10.20,5.52,445
39.60,10.21,5.51,446
39.70,10.21,5.50,447
39.80,10.22,5.49,448
39.90,10.23,5.48,449
40.00,10.23,5.47,450
40.10,10.27,5.45,451
40.20,10.30,5.44,452
40.30,10.33,5.43,453
40.40,10.36,5.42,454
40.50,10.39,5.41,455
40.60,10.42,5.40,456
40.70,10.45,5.39,457
40.80,10.48,5.38,458
40.90,10.51,5.36,459
41.00,10.54,5.35,460
41.10,10.56,5.36,461
41.20,10.58,5.37,462
41.30,10.59,5.38,463
41.40,10.61,5.40,464
41.50,10.63,5.41,465
41.60,10.65,5.42,466
41.70,10.67,5.43,467
41.80,10.69,5.44,468
41.90,10.71,5.45,469
42.00,10.73,5.46,470
42.10,10.72,5.45,471
42.20,10.70,5.44,472
42.30,10.69,5.44,473
42.40,10.68,5.43,474
42.50,10.67,5.42,475
42.60,10.66,5.42,476
42.70,10.65,5.41,477
42.80,10.63,5.40,478
42.90,10.62,5.40,479
43.00,10.61,5.39,480
43.10,10.61,5.39,481
43.20,10.60,5.40,482
43.30,10.60,5.40,483
43.40,10.60,5.40,484
43.50,10.60,5.41,485
43.60,10.59,5.41,486
43.70,10.59,5.42,487
43.80,10.59,5.42,488
43.90,10.58,5.43,489
44.00,10.58,5.43,490
44.10,10.60,5.43,491
44.20,10.63,5.43,492
44.30,10.65,5.43,493
44.40,10.68,5.44,494
44.50,10.70,5.44,495
44.60,10.73,5.44,496
44.70,10.75,5.44,497
44.80,10.78,5.44,498
44.90,10.80,5.45,499
45.00,10.83,5.45,500
45.10,10.86,5.48,501
45.20,10.90,5.51,502
45.30,10.93,5.54,503
45.40,10.96,5.56,504
45.50,11.00,5.59,505
45.60,11.03,5.62,506
45.70,11.07,5.65,507
45.80,11.10,5.68,508
45.90,11.14,5.71,509
46.00,11.17,5.74,510
46.10,11.19,5.74,511
46.20,11.21,5.75,512
46.30,11.23,5.75,513
46.40,11.25,5.76,514
46.50,11.27,5.76,515
46.60,11.28,5.76,516
46.70,11.30,5.77,517
46.80,11.32,5.77,518
46.90,11.34,5.78,519
47.00,11.36,5.78,520
47.10,11.38,5.78,521
47.20,11.41,5.77,522
47.30,11.43,5.77,523
47.40,11.45,5.76,524
47.50,11.48,5.76,525
47.60,11.50,5.75,526
47.70,11.52,5.75,527
47.80,11.55,5.74,528
47.90,11.57,5.74,529
48.00,11.59,5.73,530
48.10,11.62,5.73,531
48.20,11.66,5.74,532
48.30,11.69,5.74,533
48.40,11.72,5.74,534
48.50,11.76,5.75,535
48.60,11.79,5.75,536
48.70,11.82,5.75,537
48.80,11.85,5.76,538
48.90,11.89,5.76,539
49.00,11.92,5.76,540
49.10,11.95,5.78,541
49.20,11.98,5.79,542
49.30,12.00,5.80,543
49.40,12.03,5.81,544
49.50,12.06,5.83,545
49.60,12.09,5.84,546
49.70,12.11,5.85,547
49.80,12.14,5.87,548
49.90,12.17,5.88,549
50.00,12.20,5.89,550
50.10,12.21,5.90,551
50.20,12.22,5.91,552
50.30,12.22,5.92,553
50.40,12.23,5.93,554
50.50,12.24,5.94,555
50.60,12.25,5.96,556
50.70,12.26,5.97,557
50.80,12.27,5.98,558
50.90,12.27,5.99,559
51.00,12.28,6.00,560
51.10,12.29,6.01,561
51.20,12.30,6.01,562
51.30,12.31,6.02,563
51.40,12.31,6.03,564
51.50,12.32,6.04,565
51.60,12.33,6.05,566
51.70,12.33,6.06,567
51.80,12.34,6.06,568
51.90,12.35,6.07,569
52.00,12.36,6.08,570
52.10,12.39,6.06,571
52.20,12.42,6.03,572
52.30,12.45,6.00,573
52.40,12.48,5.98,574
52.50,12.51,5.95,575
52.60,12.54,5.93,576
52.70,12.56,5.90,577
52.80,12.59,5.87,578
52.90,12.62,5.85,579
53.00,12.65,5.82,580
53.10,12.67,5.82,581
53.20,12.69,5.81,582
53.30,12.71,5.80,583
53.40,12.73,5.80,584
53.50,12.75,5.79,585
53.60,12.77,5.78,586
53.70,12.79,5.78,587
53.80,12.81,5.77,588
53.90,12.83,5.76,589
54.00,12.85,5.76,590
54.10,12.87,5.77,591
54.20,12.89,5.78,592
54.30,12.90,5.79,593
54.40,12.92,5.80,594
54.50,12.94,5.81,595
54.60,12.95,5.83,596
54.70,12.97,5.84,597
54.80,12.98,5.85,598
54.90,13.00,5.86,599
55.00,13.02,5.87,600
55.10,13.03,5.90,601
55.20,13.04,5.93,602
55.30,13.05,5.96,603
55.40,13.07,5.99,604
55.50,13.08,6.02,605
55.60,13.09,6.04,606
55.70,13.10,6.07,607
55.80,13.11,6.10,608
55.90,13.13,6.13,609
56.00,13.14,6.16,610
56.10,13.16,6.14,611
56.20,13.17,6.12,612
56.30,13.19,6.10,613
56.40,13.21,6.09,614
56.50,13.23,6.07,615
56.60,13.24,6.05,616
56.70,13.26,6.03,617
56.80,13.28,6.01,618
56.90,13.30,5.99,619
57.00,13.31,5.98,620
