lon,lat,depth,mag,unc,date
-123.45,48.49,24.9,1.0,10.0,10/18/1985
-122.6,48.28,24.1,2.0,10.0,10/23/1985
-122.13,48.87,16.7,2.4,10.0,11/01/1985
-124.08,48.94,18.1,1.4,10.0,11/02/1985
-123.52,48.48,11.3,1.2,10.0,11/04/1985
-124.18,49.43,3.0,0.4,10.0,11/08/1985
-122.88,48.45,28.2,0.8,10.0,11/10/1985
-122.39,48.9,20.7,1.1,10.0,11/12/1985
-123.24,48.4,16.1,0.5,10.0,11/13/1985
-123.62,49.24,9.6,0.9,10.0,11/19/1985
-126.81,49.24,14.0,1.4,10.0,11/21/1985
-125.29,48.38,15.4,1.3,10.0,11/30/1985
-125.72,50.03,7.7,1.2,10.0,12/07/1985
-123.15,48.64,17.6,0.4,10.0,12/10/1985
-123.04,48.44,27.6,2.3,10.0,12/12/1985
-122.11,48.82,17.9,1.3,10.0,12/16/1985
-122.15,48.85,19.4,0.9,10.0,12/19/1985
-123.39,48.87,18.5,1.0,10.0,12/20/1985
-123.63,49.25,13.5,1.0,10.0,12/24/1985
-122.69,48.29,22.6,1.1,10.0,12/28/1985
-122.82,48.32,11.0,1.1,10.0,12/28/1985
-123.64,48.62,22.8,1.2,10.0,12/29/1985
-123.1,48.6,13.6,1.3,10.0,12/30/1985
-125.89,49.03,8.0,1.5,10.0,01/01/1986
-124.97,48.59,18.0,1.4,10.0,01/01/1986
-122.31,49.1,5.0,2.1,10.0,01/02/1986
-122.81,48.13,26.0,1.5,10.0,01/06/1986
-122.82,48.14,27.0,1.0,10.0,01/06/1986
-123.28,48.66,19.0,1.2,10.0,01/08/1986
-123.63,48.5,19.0,1.1,10.0,01/10/1986
-122.49,48.99,12.0,1.2,10.0,1/30/1986
-123.38,48.91,12.0,0.5,10.0,1/30/1986
-121.97,49.02,1.0,1.5,10.0,1/31/1986
-122.65,48.54,24.0,0.6,10.0,02/08/1986
-122.13,48.83,12.0,1.1,10.0,02/08/1986
-123.48,48.85,16.0,0.6,10.0,02/09/1986
-121.95,48.39,1.0,2.5,10.0,02/10/1986
-121.95,48.4,1.0,3.7,10.0,02/10/1986
-125.0,49.23,7.0,0.8,10.0,2/13/1986
-123.58,49.71,3.0,1.0,10.0,2/19/1986
-122.56,49.02,17.0,0.8,10.0,2/26/1986
-122.34,49.33,3.0,0.8,10.0,03/02/1986
-123.09,48.6,12.0,1.8,10.0,03/10/1986
-122.57,49.0,14.0,1.2,10.0,03/11/1986
-124.09,48.64,16.0,1.0,10.0,03/11/1986
-123.11,48.6,18.0,0.7,10.0,3/21/1986
-123.59,48.71,15.0,0.5,10.0,3/22/1986
-122.84,48.22,21.0,1.7,10.0,3/26/1986
-123.62,49.26,13.0,1.0,10.0,3/27/1986
-121.73,48.27,2.0,2.5,10.0,3/27/1986
-121.74,48.26,2.0,2.7,10.0,3/28/1986
-121.73,48.26,2.0,3.2,10.0,3/28/1986
-121.6,48.17,18.0,1.9,10.0,3/28/1986
-121.63,48.2,18.0,1.2,10.0,3/28/1986
-121.73,48.26,2.0,2.8,10.0,3/29/1986
-121.62,48.19,18.0,1.6,10.0,3/31/1986
-122.79,48.17,19.0,0.8,10.0,04/01/1986
-123.8,49.36,1.0,0.9,10.0,04/01/1986
-123.58,48.71,16.0,0.9,10.0,04/02/1986
-123.56,48.71,18.0,0.7,10.0,04/03/1986
-123.59,48.71,15.0,1.4,10.0,04/03/1986
-123.58,48.71,15.0,0.9,10.0,04/05/1986
-123.58,48.71,15.0,0.9,10.0,04/06/1986
-123.59,48.68,17.0,0.3,10.0,04/06/1986
-123.41,48.48,24.0,0.6,10.0,04/07/1986
-123.1,48.6,13.0,2.1,10.0,04/10/1986
-123.45,48.54,28.0,1.6,10.0,4/13/1986
-122.52,49.21,13.0,1.0,10.0,4/16/1986
-123.41,48.78,15.0,0.6,10.0,4/16/1986
-126.62,49.82,24.0,1.0,10.0,4/17/1986
-121.86,48.87,2.0,2.1,10.0,4/18/1986
-122.5,48.84,24.0,2.8,10.0,4/20/1986
-123.5,48.58,25.0,0.9,10.0,4/22/1986
-123.54,48.7,19.0,1.2,10.0,4/22/1986
-123.05,49.54,2.0,0.7,10.0,4/27/1986
-123.48,48.47,23.0,0.8,10.0,4/27/1986
-123.03,48.59,19.0,0.7,10.0,4/27/1986
-123.55,48.6,20.0,1.0,10.0,05/02/1986
-127.42,49.67,13.4,1.4,10.0,05/02/1986
-122.75,48.31,23.2,1.0,10.0,05/03/1986
-123.64,48.69,15.6,0.4,10.0,05/06/1986
-126.96,49.53,13.2,1.0,10.0,05/09/1986
-122.45,48.87,22.6,1.3,10.0,5/15/1986
-126.93,49.45,0.1,1.4,10.0,5/15/1986
-123.26,48.69,19.5,1.5,10.0,5/24/1986
-122.61,48.44,29.2,0.9,10.0,5/25/1986
-122.03,48.86,23.4,1.0,10.0,5/27/1986
-122.84,48.73,19.7,0.6,10.0,5/29/1986
-123.07,49.02,17.9,1.1,10.0,5/29/1986
-123.33,48.24,33.0,1.1,10.0,5/30/1986
-123.64,49.6,13.7,1.1,10.0,5/31/1986
-123.33,48.38,16.4,1.3,10.0,06/05/1986
-122.79,48.28,28.7,1.0,10.0,06/07/1986
-122.5,48.51,27.0,1.1,10.0,06/09/1986
-122.54,48.55,8.7,2.4,10.0,06/09/1986
-125.58,49.08,12.4,1.4,10.0,6/14/1986
-123.59,49.0,16.0,1.0,10.0,6/16/1986
-125.72,49.11,19.4,1.8,10.0,6/21/1986
-123.09,48.66,20.2,0.3,10.0,6/30/1986
-124.31,48.95,5.0,0.6,10.0,07/01/1986
-122.51,48.19,28.3,1.5,10.0,07/02/1986
-122.57,48.83,16.3,1.3,10.0,07/04/1986
-122.55,48.84,27.5,0.9,10.0,07/04/1986
-122.55,48.85,27.0,1.0,10.0,07/05/1986
-122.47,48.88,17.3,2.7,10.0,07/11/1986
-122.93,48.24,36.5,1.6,10.0,7/17/1986
-122.11,48.91,14.7,1.7,10.0,7/20/1986
-123.11,48.58,12.9,1.9,10.0,7/22/1986
-122.07,48.91,19.1,1.1,10.0,7/23/1986
-124.62,48.3,25.6,1.3,10.0,7/23/1986
-123.07,49.55,0.2,0.7,10.0,7/27/1986
-124.57,48.22,0.0,1.9,10.0,7/27/1986
-124.96,48.59,21.1,0.8,10.0,7/27/1986
-123.27,48.38,31.0,0.9,10.0,7/28/1986
-122.54,48.28,0.0,1.3,10.0,7/31/1986
-127.33,49.75,17.6,1.5,10.0,08/09/1986
-122.73,48.42,25.9,0.8,10.0,08/09/1986
-123.05,48.61,17.9,0.4,10.0,08/10/1986
-123.35,48.68,19.2,1.4,10.0,08/12/1986
-123.77,49.35,0.0,0.9,10.0,8/17/1986
-123.87,49.12,4.8,0.8,10.0,8/18/1986
-122.88,48.31,13.9,1.0,10.0,8/20/1986
-122.37,49.25,3.2,1.0,10.0,8/21/1986
-123.61,48.32,0.0,1.1,10.0,8/23/1986
-122.49,48.99,15.6,1.1,10.0,8/27/1986
-122.92,48.25,25.0,0.8,10.0,8/29/1986
-123.55,48.42,9.4,1.0,10.0,8/31/1986
-122.91,48.07,33.0,1.3,10.0,09/03/1986
-122.66,48.28,29.0,1.2,10.0,09/04/1986
-122.1,49.15,0.0,1.0,10.0,09/07/1986
-123.05,48.6,14.0,1.1,10.0,9/16/1986
-124.91,48.61,0.0,0.5,10.0,9/16/1986
-121.54,48.06,5.0,3.0,10.0,9/16/1986
-121.54,48.06,4.8,2.4,10.0,9/16/1986
-122.07,48.77,24.9,0.9,10.0,9/17/1986
-122.61,48.59,23.1,1.2,10.0,9/19/1986
-121.97,48.71,11.2,1.8,10.0,10/03/1986
-125.69,49.1,18.0,1.0,10.0,10/03/1986
-123.69,49.33,0.5,1.6,10.0,10/05/1986
-127.61,49.82,0.0,1.7,10.0,10/05/1986
-122.86,48.37,26.9,1.0,10.0,10/06/1986
-123.68,49.32,1.8,1.4,10.0,10/08/1986
-123.63,49.24,9.4,1.4,10.0,10/08/1986
-125.56,49.31,32.0,1.4,10.0,10/11/1986
-122.97,48.42,20.5,0.5,10.0,10/13/1986
-127.74,49.91,5.0,1.3,10.0,10/15/1986
-123.12,48.26,25.7,1.2,10.0,10/18/1986
-123.34,48.42,14.6,2.1,10.0,10/19/1986
-122.61,48.59,22.0,1.4,10.0,10/20/1986
-122.62,48.6,23.3,1.3,10.0,10/21/1986
-122.63,49.02,0.4,1.5,10.0,10/23/1986
-122.62,48.6,27.5,1.0,10.0,10/24/1986
-122.61,48.6,24.3,1.2,10.0,10/24/1986
-122.56,48.04,25.3,0.7,10.0,10/30/1986
-122.4,48.54,26.6,1.3,10.0,11/06/1986
-123.32,48.12,38.5,2.9,10.0,11/07/1986
-123.11,48.62,6.3,0.9,10.0,11/07/1986
-123.45,48.48,20.4,0.5,10.0,11/14/1986
-125.66,49.11,19.2,2.3,10.0,11/16/1986
-125.68,49.11,18.6,1.1,10.0,11/17/1986
-127.6,49.69,1.1,2.6,10.0,11/20/1986
-122.69,48.83,24.9,1.0,10.0,11/22/1986
-125.59,49.47,27.6,1.5,10.0,11/25/1986
-123.0,48.61,18.8,0.8,10.0,11/27/1986
-122.68,49.14,16.8,0.5,10.0,11/29/1986
-122.65,49.14,21.5,0.9,10.0,11/29/1986
-124.21,49.51,10.6,1.0,10.0,12/01/1986
-123.7,48.71,24.3,0.5,10.0,12/04/1986
-122.6,48.59,22.6,1.0,10.0,12/07/1986
-124.75,49.83,4.4,0.9,10.0,12/07/1986
-124.93,48.59,10.5,1.3,10.0,12/07/1986
-123.16,48.53,42.0,0.5,10.0,12/07/1986
-124.01,49.23,21.7,1.0,10.0,12/08/1986
-123.71,49.64,5.8,1.4,10.0,12/09/1986
-124.07,49.41,4.3,0.5,10.0,12/10/1986
-124.0,49.23,20.6,1.3,10.0,12/17/1986
