lon,lat,depth,mag,unc,date
-123.23,48.48,49.1,1.5,10.0,11/23/1986
-127.25,49.59,31.0,3.1,10.0,12/05/1986
-127.19,49.58,27.2,1.7,10.0,12/05/1986
-127.18,49.6,26.2,1.4,10.0,12/05/1986
-126.14,49.32,36.9,0.5,10.0,12/06/1986
-125.5,49.12,32.5,1.3,10.0,12/09/1986
-126.24,49.39,32.7,1.6,10.0,12/12/1986
-123.95,49.29,60.3,1.1,10.0,12/16/1986
-126.48,49.45,31.0,2.5,10.0,12/17/1986
-127.61,49.54,32.7,1.8,10.0,12/22/1986
-125.14,48.8,27.5,1.2,10.0,12/26/1986
-125.2,49.03,33.6,1.9,10.0,01/05/1987
-126.69,49.07,25.6,2.0,10.0,01/09/1987
-125.16,48.66,32.3,1.4,10.0,1/14/1987
-126.81,49.4,31.6,1.6,10.0,02/01/1987
-123.07,48.73,54.6,1.9,10.0,02/03/1987
-122.94,48.73,61.2,1.0,10.0,02/03/1987
-127.44,49.57,36.0,2.0,10.0,02/03/1987
-125.35,49.04,33.9,1.6,10.0,2/13/1987
-126.89,49.68,24.9,2.1,10.0,2/18/1987
-123.52,48.93,50.7,1.0,10.0,2/27/1987
-125.65,48.75,25.3,1.6,10.0,03/09/1987
-123.27,48.64,59.0,0.8,10.0,3/30/1987
-127.18,49.75,37.6,2.0,10.0,04/12/1987
-124.74,48.21,26.6,1.7,10.0,04/12/1987
-124.66,48.28,32.9,0.9,10.0,4/26/1987
-124.78,48.05,35.3,1.4,10.0,05/02/1987
-123.01,48.63,56.4,1.5,10.0,05/10/1987
-125.42,48.9,30.7,1.1,10.0,05/11/1987
-126.9,49.58,33.3,1.8,10.0,5/14/1987
-127.37,49.52,35.4,1.5,10.0,5/17/1987
-127.38,49.52,37.9,1.8,10.0,5/18/1987
-127.37,49.52,38.2,1.5,10.0,5/18/1987
-125.43,49.06,38.0,1.4,10.0,5/18/1987
-127.24,49.52,32.3,1.3,10.0,5/26/1987
-124.41,48.33,31.7,1.5,10.0,5/29/1987
-124.72,48.82,32.6,1.0,10.0,5/31/1987
-127.23,49.5,35.7,1.3,10.0,06/04/1987
-123.16,48.71,54.0,1.1,10.0,06/06/1987
-127.01,49.8,31.3,3.8,10.0,06/07/1987
-127.02,49.4,35.4,1.6,10.0,06/08/1987
-124.24,49.29,58.6,0.7,10.0,06/08/1987
-126.77,49.8,37.2,1.6,10.0,06/12/1987
-125.43,49.07,38.7,0.7,10.0,6/19/1987
-125.52,49.17,33.5,0.7,10.0,6/19/1987
-125.14,48.76,27.8,1.2,10.0,6/20/1987
-124.98,48.67,28.4,1.2,10.0,6/20/1987
-125.12,48.3,35.1,1.7,10.0,6/21/1987
-125.74,49.1,34.0,0.8,10.0,6/26/1987
-127.21,49.52,29.3,1.0,10.0,6/29/1987
-122.88,48.12,47.6,2.2,10.0,6/30/1987
-123.38,48.54,44.0,0.4,10.0,07/06/1987
-127.17,49.71,31.0,1.5,10.0,07/11/1987
-125.13,49.06,35.1,1.9,10.0,07/12/1987
-123.9,49.39,64.0,0.5,10.0,07/12/1987
-127.29,49.83,34.7,1.2,10.0,7/21/1987
-126.27,48.75,35.9,1.3,10.0,7/25/1987
-123.21,48.27,46.0,0.8,10.0,08/06/1987
-123.45,48.54,47.0,0.6,10.0,08/11/1987
-126.92,49.52,31.8,1.6,10.0,8/16/1987
-127.01,49.47,35.6,1.4,10.0,8/18/1987
-125.28,49.15,34.9,1.6,10.0,8/25/1987
-125.61,49.47,47.0,1.0,10.0,09/06/1987
-123.22,48.67,56.7,1.4,10.0,09/08/1987
-125.69,48.96,34.0,0.5,10.0,09/09/1987
-126.98,49.46,32.1,1.6,10.0,09/09/1987
-123.11,48.52,51.1,1.2,10.0,09/10/1987
-127.25,49.6,24.9,1.4,10.0,9/16/1987
-122.97,48.06,52.4,2.3,10.0,9/20/1987
-125.19,48.33,27.0,0.8,10.0,9/20/1987
-124.74,48.77,36.5,1.8,10.0,9/21/1987
-126.48,49.13,35.7,2.1,10.0,9/24/1987
-126.91,49.65,39.6,1.5,10.0,10/05/1987
-126.55,49.46,40.0,0.7,10.0,10/09/1987
-127.1,49.7,33.8,0.9,10.0,10/11/1987
-126.39,49.47,39.0,1.6,10.0,10/15/1987
-125.34,48.92,31.4,1.3,10.0,10/22/1987
-127.0,49.54,34.3,2.4,10.0,10/24/1987
-122.75,48.41,53.7,1.7,10.0,10/30/1987
-127.46,49.69,33.6,2.9,10.0,11/08/1987
-123.56,48.94,51.9,1.3,10.0,11/09/1987
-123.96,49.27,63.9,0.6,10.0,11/23/1987
