lon,lat,depth,unc,etype,src
139.9984,41.5536,155.0480,nan,ER,nan
140.5191,41.5720,130.1300,nan,ER,nan
140.5670,41.5680,128.0090,nan,ER,nan
140.4759,41.3553,158.6970,nan,ER,nan
140.7437,41.6588,128.8580,nan,ER,nan
140.1147,41.0398,159.7090,nan,ER,nan
140.1952,41.3633,148.7320,nan,ER,nan
140.7746,41.5885,139.5900,nan,ER,nan
140.6443,41.0972,118.0310,nan,ER,nan
140.7151,41.1330,113.1290,nan,ER,nan
139.3084,41.1707,28.5460,nan,ER,nan
140.7658,41.9558,120.9250,nan,ER,nan
140.1750,41.4568,164.4520,nan,ER,nan
140.2154,41.0693,149.6380,nan,ER,nan
140.1547,41.0524,159.9860,nan,ER,nan
140.7210,41.6393,115.4480,nan,ER,nan
140.5355,41.5206,156.1100,nan,ER,nan
140.8279,41.5535,140.7210,nan,ER,nan
140.1388,41.9623,173.0700,nan,ER,nan
140.8794,41.1982,102.5160,nan,ER,nan
140.2237,41.0309,174.0930,nan,ER,nan
140.4152,41.2678,163.0250,nan,ER,nan
140.7941,41.1934,111.9710,nan,ER,nan
140.2523,41.0910,143.4820,nan,ER,nan
140.5516,41.0838,120.6390,nan,ER,nan
140.4573,41.2164,161.7600,nan,ER,nan
140.6227,41.7379,119.7640,nan,ER,nan
140.9914,41.7122,24.0190,nan,ER,nan
140.9953,41.7156,22.1540,nan,ER,nan
140.9786,41.7173,21.9540,nan,ER,nan
140.9930,41.7163,21.5930,nan,ER,nan
140.9984,41.7206,22.8390,nan,ER,nan
140.6688,41.6119,127.7250,nan,ER,nan
140.5979,41.6262,125.4460,nan,ER,nan
139.6087,41.2989,16.9500,nan,ER,nan
140.9439,41.9949,110.5150,nan,ER,nan
140.5692,41.4811,148.6740,nan,ER,nan
140.6706,41.8209,126.6630,nan,ER,nan
140.9327,41.7771,113.3950,nan,ER,nan
140.1988,41.0642,168.4550,nan,ER,nan
140.6834,41.7867,123.7890,nan,ER,nan
140.8958,41.9464,110.7050,nan,ER,nan
140.0122,41.4262,158.5110,nan,ER,nan
139.2756,41.0462,27.3980,nan,ER,nan
140.4991,41.2217,157.9240,nan,ER,nan
140.1273,41.0688,169.6960,nan,ER,nan
140.8032,41.9422,119.6820,nan,ER,nan
140.0934,41.7464,174.0220,nan,ER,nan
140.5571,41.1810,124.1430,nan,ER,nan
140.9922,41.9612,135.8900,nan,ER,nan
140.7706,41.1506,120.7050,nan,ER,nan
140.8874,41.5286,108.9540,nan,ER,nan
139.7394,41.9270,181.0560,nan,ER,nan
139.9920,41.9733,167.2060,nan,ER,nan
140.5379,41.4643,126.4140,nan,ER,nan
139.5015,41.8249,190.3110,nan,ER,nan
140.7931,41.6958,121.6800,nan,ER,nan
140.4076,41.3139,139.0570,nan,ER,nan
140.4069,41.2531,149.3690,nan,ER,nan
140.9843,41.9589,104.3410,nan,ER,nan
140.9466,41.7767,107.0860,nan,ER,nan
140.9889,41.7155,22.2760,nan,ER,nan
140.2659,41.4697,137.3840,nan,ER,nan
140.7553,41.5473,144.6990,nan,ER,nan
140.2618,41.0034,169.6040,nan,ER,nan
140.7559,41.5848,149.3790,nan,ER,nan
140.7207,41.8899,149.5080,nan,ER,nan
139.2595,41.0793,24.2550,nan,ER,nan
140.3251,41.1378,167.4180,nan,ER,nan
139.1356,41.1811,26.7910,nan,ER,nan
140.5262,41.1461,157.6380,nan,ER,nan
139.2762,41.1683,29.0030,nan,ER,nan
140.1813,41.0764,158.3640,nan,ER,nan
140.8225,41.8455,116.2170,nan,ER,nan
139.1419,41.3632,16.7520,nan,ER,nan
140.6794,41.1501,117.1610,nan,ER,nan
140.4041,41.6654,134.4750,nan,ER,nan
140.1652,41.9723,177.5390,nan,ER,nan
140.1443,41.0270,157.2950,nan,ER,nan
140.9135,41.0524,105.4230,nan,ER,nan
139.2607,41.1761,27.2140,nan,ER,nan
139.2864,41.1617,28.4880,nan,ER,nan
140.8178,41.7258,145.8780,nan,ER,nan
140.0829,41.0085,176.6360,nan,ER,nan
140.9344,41.5103,105.2310,nan,ER,nan
140.8204,41.5689,147.8840,nan,ER,nan
140.4205,41.2005,164.4000,nan,ER,nan
140.0605,41.9671,180.0590,nan,ER,nan
140.9460,41.3993,104.4000,nan,ER,nan
140.8088,41.3644,121.3640,nan,ER,nan
140.6747,41.4724,114.3270,nan,ER,nan
140.9410,41.1395,102.9370,nan,ER,nan
139.1262,41.1885,24.7800,nan,ER,nan
139.8516,41.9996,184.2620,nan,ER,nan
139.1134,41.4650,218.8000,nan,ER,nan
140.9894,41.7521,17.1380,nan,ER,nan
140.8179,41.7058,145.4420,nan,ER,nan
140.6781,41.5618,118.5650,nan,ER,nan
140.2899,41.0696,170.1670,nan,ER,nan
