lon,lat,depth,unc,etype,src
174.9125,-41.9473,12.4616,nan,AS,nan
174.9124,-41.9472,12.4543,nan,AS,nan
174.9123,-41.9471,12.4468,nan,AS,nan
174.9123,-41.9470,12.4403,nan,AS,nan
174.9122,-41.9469,12.4335,nan,AS,nan
174.9121,-41.9468,12.4274,nan,AS,nan
174.9120,-41.9467,12.4221,nan,AS,nan
174.9119,-41.9467,12.4168,nan,AS,nan
174.9119,-41.9466,12.4123,nan,AS,nan
174.9118,-41.9465,12.4076,nan,AS,nan
174.9117,-41.9464,12.4027,nan,AS,nan
174.9116,-41.9463,12.3982,nan,AS,nan
174.9115,-41.9462,12.3934,nan,AS,nan
174.9115,-41.9461,12.3878,nan,AS,nan
174.9114,-41.9460,12.3823,nan,AS,nan
174.9113,-41.9459,12.3768,nan,AS,nan
174.9112,-41.9458,12.3708,nan,AS,nan
174.9111,-41.9457,12.3645,nan,AS,nan
174.9111,-41.9456,12.3581,nan,AS,nan
174.9110,-41.9455,12.3513,nan,AS,nan
174.9109,-41.9454,12.3441,nan,AS,nan
174.9108,-41.9453,12.3370,nan,AS,nan
174.9107,-41.9452,12.3287,nan,AS,nan
174.9107,-41.9451,12.3203,nan,AS,nan
174.9106,-41.9450,12.3103,nan,AS,nan
174.9105,-41.9449,12.2994,nan,AS,nan
174.9104,-41.9448,12.2885,nan,AS,nan
174.9103,-41.9447,12.2800,nan,AS,nan
174.9103,-41.9447,12.2731,nan,AS,nan
174.9102,-41.9446,12.2668,nan,AS,nan
174.9101,-41.9445,12.2626,nan,AS,nan
174.9100,-41.9444,12.2586,nan,AS,nan
174.9099,-41.9443,12.2572,nan,AS,nan
174.9099,-41.9442,12.2573,nan,AS,nan
174.9098,-41.9441,12.2575,nan,AS,nan
174.9097,-41.9440,12.2581,nan,AS,nan
174.9096,-41.9439,12.2591,nan,AS,nan
174.9095,-41.9438,12.2601,nan,AS,nan
174.9095,-41.9437,12.2610,nan,AS,nan
174.9094,-41.9436,12.2617,nan,AS,nan
174.9093,-41.9435,12.2625,nan,AS,nan
174.9092,-41.9434,12.2366,nan,AS,nan
174.9091,-41.9433,12.2364,nan,AS,nan
174.9091,-41.9432,12.2365,nan,AS,nan
174.9090,-41.9431,12.2364,nan,AS,nan
174.9089,-41.9430,12.2363,nan,AS,nan
174.9088,-41.9429,12.2361,nan,AS,nan
174.9087,-41.9428,12.2359,nan,AS,nan
174.9087,-41.9427,12.2358,nan,AS,nan
174.9086,-41.9426,12.2358,nan,AS,nan
174.9085,-41.9425,12.2359,nan,AS,nan
174.9084,-41.9425,12.2359,nan,AS,nan
174.9083,-41.9424,12.2359,nan,AS,nan
174.9083,-41.9423,12.2358,nan,AS,nan
174.9082,-41.9422,12.2357,nan,AS,nan
174.9081,-41.9421,12.2356,nan,AS,nan
174.9080,-41.9420,12.2355,nan,AS,nan
174.9079,-41.9419,12.2354,nan,AS,nan
174.9079,-41.9418,12.2352,nan,AS,nan
174.9078,-41.9417,12.2350,nan,AS,nan
174.9077,-41.9416,12.2347,nan,AS,nan
174.9076,-41.9415,12.2344,nan,AS,nan
174.9075,-41.9414,12.2340,nan,AS,nan
174.9075,-41.9413,12.2336,nan,AS,nan
174.9074,-41.9412,12.2332,nan,AS,nan
174.9073,-41.9411,12.2326,nan,AS,nan
174.9072,-41.9410,12.2321,nan,AS,nan
174.9071,-41.9409,12.2317,nan,AS,nan
174.9071,-41.9408,12.2312,nan,AS,nan
174.9070,-41.9407,12.2306,nan,AS,nan
174.9069,-41.9406,12.2300,nan,AS,nan
174.9068,-41.9405,12.2294,nan,AS,nan
174.9067,-41.9405,12.2286,nan,AS,nan
174.9067,-41.9404,12.2279,nan,AS,nan
174.9066,-41.9403,12.2274,nan,AS,nan
174.9065,-41.9402,12.2270,nan,AS,nan
174.9064,-41.9401,12.2266,nan,AS,nan
174.9063,-41.9400,12.2262,nan,AS,nan
174.9063,-41.9399,12.2257,nan,AS,nan
174.9062,-41.9398,12.2251,nan,AS,nan
174.9061,-41.9397,12.2243,nan,AS,nan
174.9060,-41.9396,12.2235,nan,AS,nan
174.9059,-41.9395,12.2227,nan,AS,nan
174.9059,-41.9394,12.2221,nan,AS,nan
174.9058,-41.9393,12.2215,nan,AS,nan
174.9057,-41.9392,12.2209,nan,AS,nan
174.9056,-41.9391,12.2202,nan,AS,nan
174.9055,-41.9390,12.2192,nan,AS,nan
174.9055,-41.9389,12.2184,nan,AS,nan
174.9054,-41.9388,12.2175,nan,AS,nan
174.9053,-41.9387,12.2167,nan,AS,nan
174.9052,-41.9386,12.2160,nan,AS,nan
174.9051,-41.9385,12.2151,nan,AS,nan
174.9051,-41.9385,12.2139,nan,AS,nan
174.9050,-41.9384,12.2126,nan,AS,nan
174.9049,-41.9383,12.2116,nan,AS,nan
174.9048,-41.9382,12.2106,nan,AS,nan
174.9047,-41.9381,12.2096,nan,AS,nan
174.9047,-41.9380,12.2084,nan,AS,nan
174.9046,-41.9379,12.2067,nan,AS,nan
174.9045,-41.9378,12.2053,nan,AS,nan
174.9044,-41.9377,12.2038,nan,AS,nan
174.9043,-41.9376,12.2023,nan,AS,nan
174.9042,-41.9375,12.2000,nan,AS,nan
174.9042,-41.9374,12.1982,nan,AS,nan
174.9041,-41.9373,12.1971,nan,AS,nan
174.9040,-41.9372,12.1950,nan,AS,nan
174.9039,-41.9371,12.1927,nan,AS,nan
174.9039,-41.9370,12.1913,nan,AS,nan
174.9038,-41.9369,12.1896,nan,AS,nan
174.9037,-41.9368,12.1869,nan,AS,nan
174.9036,-41.9367,12.1851,nan,AS,nan
174.9035,-41.9366,12.1836,nan,AS,nan
174.9034,-41.9365,12.1811,nan,AS,nan
174.9034,-41.9364,12.1790,nan,AS,nan
174.9033,-41.9364,12.1779,nan,AS,nan
174.9032,-41.9363,12.1770,nan,AS,nan
174.9031,-41.9362,12.1762,nan,AS,nan
174.9031,-41.9361,12.1752,nan,AS,nan
174.9030,-41.9360,12.1745,nan,AS,nan
174.9029,-41.9359,12.1739,nan,AS,nan
174.9028,-41.9358,12.1736,nan,AS,nan
174.9027,-41.9357,12.1735,nan,AS,nan
174.9026,-41.9356,12.1731,nan,AS,nan
174.9026,-41.9355,12.1727,nan,AS,nan
174.9025,-41.9354,12.1720,nan,AS,nan
174.9024,-41.9353,12.1711,nan,AS,nan
174.9023,-41.9352,12.1704,nan,AS,nan
174.9023,-41.9351,12.1701,nan,AS,nan
174.9022,-41.9350,12.1699,nan,AS,nan
174.9021,-41.9349,12.1698,nan,AS,nan
174.9020,-41.9348,12.1696,nan,AS,nan
174.9019,-41.9347,12.1693,nan,AS,nan
174.9018,-41.9346,12.1690,nan,AS,nan
174.9018,-41.9345,12.1688,nan,AS,nan
174.9017,-41.9344,12.1685,nan,AS,nan
174.9016,-41.9344,12.1685,nan,AS,nan
174.9015,-41.9343,12.1686,nan,AS,nan
174.9015,-41.9342,12.1687,nan,AS,nan
174.9014,-41.9341,12.1686,nan,AS,nan
174.9013,-41.9340,12.1686,nan,AS,nan
174.9012,-41.9339,12.1688,nan,AS,nan
174.9011,-41.9338,12.1688,nan,AS,nan
174.9010,-41.9337,12.1689,nan,AS,nan
174.9010,-41.9336,12.1688,nan,AS,nan
174.9009,-41.9335,12.1688,nan,AS,nan
174.9008,-41.9334,12.1685,nan,AS,nan
174.9007,-41.9333,12.1681,nan,AS,nan
174.9007,-41.9332,12.1677,nan,AS,nan
174.9006,-41.9331,12.1671,nan,AS,nan
174.9005,-41.9330,12.1666,nan,AS,nan
174.9004,-41.9329,12.1662,nan,AS,nan
174.9003,-41.9328,12.1657,nan,AS,nan
174.9002,-41.9327,12.1650,nan,AS,nan
174.9002,-41.9326,12.1645,nan,AS,nan
174.9001,-41.9325,12.1641,nan,AS,nan
174.9000,-41.9324,12.1640,nan,AS,nan
174.8999,-41.9324,12.1641,nan,AS,nan
174.8999,-41.9322,12.1644,nan,AS,nan
174.8998,-41.9322,12.1648,nan,AS,nan
174.8997,-41.9321,12.1652,nan,AS,nan
174.8996,-41.9320,12.1660,nan,AS,nan
174.8995,-41.9319,12.1672,nan,AS,nan
174.8994,-41.9318,12.1691,nan,AS,nan
174.8994,-41.9317,12.1710,nan,AS,nan
174.8993,-41.9316,12.1728,nan,AS,nan
174.8992,-41.9315,12.1745,nan,AS,nan
174.8991,-41.9314,12.1764,nan,AS,nan
174.8990,-41.9313,12.1784,nan,AS,nan
174.8990,-41.9312,12.1800,nan,AS,nan
174.8989,-41.9311,12.1811,nan,AS,nan
174.8988,-41.9310,12.1819,nan,AS,nan
174.8987,-41.9309,12.1830,nan,AS,nan
174.8986,-41.9308,12.1843,nan,AS,nan
174.8986,-41.9307,12.1855,nan,AS,nan
174.8985,-41.9306,12.1867,nan,AS,nan
174.8984,-41.9305,12.1887,nan,AS,nan
174.8983,-41.9304,12.1915,nan,AS,nan
174.8982,-41.9303,12.1941,nan,AS,nan
174.8982,-41.9302,12.1981,nan,AS,nan
174.8981,-41.9302,12.2015,nan,AS,nan
174.8980,-41.9301,12.2043,nan,AS,nan
174.8979,-41.9300,12.2075,nan,AS,nan
174.8978,-41.9299,12.2095,nan,AS,nan
174.8978,-41.9298,12.2115,nan,AS,nan
174.8977,-41.9297,12.2137,nan,AS,nan
174.8976,-41.9296,12.2166,nan,AS,nan
174.8975,-41.9295,12.2190,nan,AS,nan
174.8974,-41.9294,12.2205,nan,AS,nan
174.8974,-41.9293,12.2230,nan,AS,nan
174.8973,-41.9292,12.2254,nan,AS,nan
174.8972,-41.9291,12.2280,nan,AS,nan
174.8971,-41.9290,12.2306,nan,AS,nan
174.8970,-41.9289,12.2340,nan,AS,nan
174.8970,-41.9288,12.2397,nan,AS,nan
174.8969,-41.9287,12.2477,nan,AS,nan
174.8968,-41.9286,12.2518,nan,AS,nan
174.8967,-41.9285,12.2533,nan,AS,nan
174.8966,-41.9284,12.2549,nan,AS,nan
174.8966,-41.9283,12.2559,nan,AS,nan
174.8965,-41.9282,12.2570,nan,AS,nan
174.8964,-41.9282,12.2579,nan,AS,nan
174.8963,-41.9281,12.2588,nan,AS,nan
174.8963,-41.9280,12.2595,nan,AS,nan
174.8962,-41.9279,12.2608,nan,AS,nan
174.8961,-41.9278,12.2626,nan,AS,nan
174.8960,-41.9277,12.2644,nan,AS,nan
174.8959,-41.9276,12.2664,nan,AS,nan
174.8958,-41.9275,12.2690,nan,AS,nan
174.8958,-41.9274,12.2713,nan,AS,nan
174.8957,-41.9273,12.2737,nan,AS,nan
174.8956,-41.9272,12.2762,nan,AS,nan
174.8955,-41.9271,12.2783,nan,AS,nan
174.8955,-41.9270,12.2796,nan,AS,nan
174.8954,-41.9269,12.2807,nan,AS,nan
174.8953,-41.9268,12.2822,nan,AS,nan
174.8952,-41.9267,12.2836,nan,AS,nan
174.8951,-41.9266,12.2857,nan,AS,nan
174.8950,-41.9265,12.2885,nan,AS,nan
174.8950,-41.9264,12.2903,nan,AS,nan
174.8949,-41.9263,12.2916,nan,AS,nan
174.8948,-41.9262,12.2930,nan,AS,nan
174.8947,-41.9261,12.2941,nan,AS,nan
174.8947,-41.9261,12.2952,nan,AS,nan
174.8946,-41.9260,12.2962,nan,AS,nan
174.8945,-41.9259,12.2975,nan,AS,nan
174.8944,-41.9258,12.2993,nan,AS,nan
174.8943,-41.9257,12.3008,nan,AS,nan
174.8942,-41.9256,12.3021,nan,AS,nan
174.8942,-41.9255,12.3035,nan,AS,nan
174.8941,-41.9254,12.3052,nan,AS,nan
174.8940,-41.9253,12.3073,nan,AS,nan
174.8939,-41.9252,12.3092,nan,AS,nan
174.8939,-41.9251,12.3108,nan,AS,nan
174.8938,-41.9250,12.3121,nan,AS,nan
174.8937,-41.9249,12.3133,nan,AS,nan
174.8936,-41.9248,12.3147,nan,AS,nan
174.8935,-41.9247,12.3162,nan,AS,nan
174.8934,-41.9246,12.3176,nan,AS,nan
174.8934,-41.9245,12.3192,nan,AS,nan
174.8933,-41.9244,12.3208,nan,AS,nan
174.8932,-41.9243,12.3223,nan,AS,nan
174.8931,-41.9242,12.3235,nan,AS,nan
174.8930,-41.9241,12.3246,nan,AS,nan
174.8930,-41.9241,12.3257,nan,AS,nan
174.8929,-41.9240,12.3272,nan,AS,nan
174.8928,-41.9239,12.3288,nan,AS,nan
174.8927,-41.9238,12.3309,nan,AS,nan
174.8926,-41.9237,12.3328,nan,AS,nan
174.8926,-41.9236,12.3350,nan,AS,nan
174.8925,-41.9235,12.3375,nan,AS,nan
174.8924,-41.9234,12.3398,nan,AS,nan
174.8923,-41.9233,12.3417,nan,AS,nan
174.8922,-41.9232,12.3436,nan,AS,nan
174.8922,-41.9231,12.3455,nan,AS,nan
174.8921,-41.9230,12.3476,nan,AS,nan
174.8920,-41.9229,12.3497,nan,AS,nan
174.8919,-41.9228,12.3514,nan,AS,nan
174.8918,-41.9227,12.3532,nan,AS,nan
174.8918,-41.9226,12.3550,nan,AS,nan
174.8917,-41.9225,12.3572,nan,AS,nan
174.8916,-41.9224,12.3591,nan,AS,nan
174.8915,-41.9223,12.3605,nan,AS,nan
174.8914,-41.9222,12.3619,nan,AS,nan
174.8914,-41.9221,12.3633,nan,AS,nan
174.8913,-41.9221,12.3647,nan,AS,nan
174.8912,-41.9220,12.3665,nan,AS,nan
174.8911,-41.9219,12.3684,nan,AS,nan
174.8910,-41.9218,12.3700,nan,AS,nan
174.8910,-41.9217,12.3718,nan,AS,nan
174.8909,-41.9216,12.3733,nan,AS,nan
174.8908,-41.9215,12.3751,nan,AS,nan
174.8907,-41.9214,12.3768,nan,AS,nan
174.8906,-41.9213,12.3783,nan,AS,nan
174.8906,-41.9212,12.3795,nan,AS,nan
174.8905,-41.9211,12.3807,nan,AS,nan
174.8904,-41.9210,12.3820,nan,AS,nan
174.8903,-41.9209,12.3833,nan,AS,nan
174.8902,-41.9208,12.3846,nan,AS,nan
174.8902,-41.9207,12.3857,nan,AS,nan
174.8901,-41.9206,12.3867,nan,AS,nan
174.8900,-41.9205,12.3878,nan,AS,nan
174.8899,-41.9204,12.3891,nan,AS,nan
174.8898,-41.9203,12.3902,nan,AS,nan
174.8898,-41.9202,12.3914,nan,AS,nan
174.8897,-41.9201,12.3925,nan,AS,nan
174.8896,-41.9200,12.3938,nan,AS,nan
174.8895,-41.9199,12.3952,nan,AS,nan
174.8894,-41.9199,12.3966,nan,AS,nan
174.8894,-41.9198,12.3981,nan,AS,nan
174.8893,-41.9197,12.3994,nan,AS,nan
174.8892,-41.9196,12.4004,nan,AS,nan
174.8891,-41.9195,12.4007,nan,AS,nan
174.8890,-41.9194,12.4005,nan,AS,nan
174.8890,-41.9193,12.4013,nan,AS,nan
174.8889,-41.9192,12.4027,nan,AS,nan
174.8888,-41.9191,12.4042,nan,AS,nan
174.8887,-41.9190,12.4068,nan,AS,nan
174.8886,-41.9189,12.4086,nan,AS,nan
174.8886,-41.9188,12.4117,nan,AS,nan
174.8885,-41.9187,12.4147,nan,AS,nan
