lat,lon,depth,unc,ID,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,id_no,src
17.916,-68.691,33.000,15.000,100061,EQ,4.500,1994-11-17 03:50:37.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006nsy,42718
17.967,-65.429,5.000,15.000,100062,EQ,3.100,1994-11-27 08:22:40.930,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006pad,42718
18.136,-67.094,33.000,15.000,100063,EQ,3.300,1994-11-29 04:05:31.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006pda,42718
13.638,-71.034,33.000,15.000,100064,EQ,4.500,2000-03-16 00:22:02.760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0009prt,42718
12.924,-68.000,33.000,15.000,100065,EQ,4.800,2003-11-16 07:22:46.970,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp000ccyu,42718
17.197,-71.677,25.000,15.000,100066,EQ,4.800,1973-07-02 18:22:10.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00002gu,42718
17.907,-69.825,35.000,15.000,100067,EQ,6.500,1971-06-11 12:56:04.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,iscgem783356,42718
17.876,-69.606,35.000,15.000,100068,EQ,5.500,1971-09-13 04:18:01.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,iscgem780264,42718
17.835,-66.440,17.000,15.000,100069,EQ,3.900,1973-12-05 00:24:49.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00004ec,42718
18.225,-68.360,29.000,15.000,100070,EQ,4.900,1974-05-09 09:33:21.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0000697,42718
18.189,-68.030,79.000,15.000,100071,EQ,4.700,1974-06-01 04:23:17.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00006kg,42718
17.825,-65.485,33.000,15.000,100072,EQ,4.600,1974-08-29 13:18:26.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00007uj,42718
