lon,lat,depth
137.961263173,34.4935317885,14.5130536171
137.923642659,34.5779554168,16.2216106971
137.885945654,34.6623674791,18.1016080643
137.848171772,34.7467679153,20.1366902044
137.810320623,34.831156665,22.3987061794
137.772391816,34.9155336672,24.9689847602
137.734384958,34.9998988609,27.8442787856
137.696299653,35.0842521846,30.9328510956
137.658135503,35.1685935764,34.2294201495
137.619892109,35.2529229741,37.9248721711
137.581569069,35.3372403152,42.2077553661
137.543165979,35.4215455367,47.1081488028
137.504682433,35.5058385755,52.5042713868
137.466118021,35.5901193678,58.4315396702
137.427472334,35.6743878496,65.5711102388
137.388744958,35.7586439567,74.7055180923
137.349935478,35.8428876243,85.7304305056
137.311043476,35.9271187872,97.2058014586
137.272068534,36.01133738,107.868295995
137.233010228,36.0955433369,117.121989709
137.193868135,36.1797365915,124.642833835
137.154641827,36.2639170773,129.620688018
138.21319897,34.2556560085,9.19039460551
138.175835756,34.3401251581,10.5265043222
138.138397209,34.424582936,11.9043718685
138.100882945,34.5090292832,13.3852326726
138.063292584,34.5934641402,15.0631522499
138.025625738,34.6778874474,16.9660801608
137.987882022,34.7622991447,19.0625110155
137.950061045,34.8466991717,21.3244508453
137.912162417,34.9310874677,23.8165472769
137.874185744,35.0154639715,26.653827973
137.836130631,35.0998286218,29.8177989314
137.797996679,35.1841813568,33.3142762211
137.75978349,35.2685221143,37.2596810296
137.72149066,35.3528508319,41.8606597767
137.683117787,35.4371674467,47.2956980773
137.644664462,35.5214718956,53.5524079778
137.606130279,35.6057641149,60.6547799725
137.567514826,35.6900440408,69.1356311024
137.528817689,35.7743116089,79.7831568034
137.490038455,35.8585667547,92.0574213334
137.451176704,35.942809413,104.28776114
137.412232018,36.0270395186,115.109288161
137.373203973,36.1112570055,124.00975601
137.334092147,36.1954618076,130.610604402
138.323307171,34.289747989,8.28245200414
138.285965873,34.3742283261,9.71375058648
138.24854918,34.4586972996,11.1085495099
138.211056708,34.5431548503,12.585748516
138.173488074,34.6276009191,14.2374203912
138.135842893,34.712035446,16.146432531
138.098120777,34.7964583712,18.27929362
138.060321337,34.8808696343,20.5737587844
138.02244418,34.9652691744,23.0462842555
137.984488913,35.0496569306,25.8591640656
137.946455139,35.1340328415,29.0977050627
137.908342461,35.2183968453,32.8367367617
137.870150478,35.3027488798,37.1317292506
137.831878787,35.3870888826,42.1502316327
137.793526984,35.471416791,48.1750678928
137.755094662,35.5557325417,55.3485095663
137.716581412,35.6400360712,63.7325124455
137.677986822,35.7243273156,73.7725464864
137.63931048,35.8086062105,85.9442744095
137.600551968,35.8928726915,99.254013857
137.561710869,35.9771266934,111.778473972
137.522786762,36.0613681509,122.210970419
137.483779226,36.1455969982,130.184654583
138.391770945,34.3360673433,8.02380271044
138.354446276,34.4205589023,9.34419304985
138.317046104,34.5050391006,10.7691687625
138.279570045,34.5895078792,12.2622387331
138.242017716,34.6739651786,13.9067319843
138.204388729,34.7584109392,15.8361364734
138.166682698,34.842845101,18.0433510011
138.128899231,34.9272676034,20.4128749411
138.091037935,35.0116783859,22.9544973811
138.053098417,35.0960773873,25.8378020944
138.015080279,35.1804645462,29.2426853709
137.976983122,35.2648398008,33.2688382789
137.938806545,35.3492030891,37.9885615907
137.900550145,35.4335543484,43.5921636615
137.862213517,35.5178935161,50.4099788228
137.823796252,35.6022205289,58.5986553229
137.78529794,35.6865353233,68.1917440798
137.74671817,35.7708378352,79.5558993319
137.708056528,35.8551280005,92.6546618202
137.669312596,35.9394057545,106.209736354
137.630485955,36.0236710322,118.335183641
137.591576185,36.107923768,127.887207331
137.552582861,36.1921638964,134.466535162
138.422958885,34.4668635244,8.75065692763
138.385575456,34.551355,10.276713601
138.348116034,34.6358350591,11.7397495042
138.310580232,34.7203036422,13.3595076076
138.272967665,34.8047606895,15.3149322155
138.235277942,34.8892061411,17.6273970745
138.197510673,34.9736399365,20.1309733963
138.159665464,35.0580620149,22.7473709921
138.12174192,35.1424723153,25.6796098174
138.083739643,35.2268707762,29.2518584714
138.045658234,35.3112573359,33.6197490493
138.007497291,35.3956319323,38.8251166816
137.969256409,35.4799945027,45.0967446505
137.930935182,35.5643449845,52.7508257412
137.892533202,35.6486833143,61.8873032585
137.854050058,35.7330094286,72.5121082252
137.815485337,35.8173232635,84.7279065954
137.776838624,35.9016247546,98.097793625
137.738109501,35.9859138373,111.423696107
137.699297549,36.0701904466,123.008431337
137.660402345,36.1544545169,131.627506809
137.621423465,36.2387059825,136.983716765
138.454155613,34.597674491,9.61688320347
138.416713037,34.6821658831,11.0090687731
138.379193974,34.7666458025,12.6091329745
138.341598036,34.8511141895,14.6371215491
138.303924833,34.9355709839,17.0884473363
138.266173974,35.0200161254,19.68641697
138.228345063,35.1044495531,22.3386395
138.190437706,35.1888712061,25.3636231735
138.152451503,35.2732810228,29.1907856504
138.114386055,35.3576789414,33.9697647962
138.076240957,35.4420648999,39.735382578
138.038015807,35.5264388357,46.6859398577
137.999710196,35.6108006859,55.0787825705
137.961323715,35.6951503873,64.9715129897
137.922855953,35.7794878764,76.335374575
137.884306495,35.8638130891,88.9225268223
137.845674927,35.9481259612,102.207233758
137.806960829,36.0324264279,115.124168142
137.76816378,36.1167144242,126.023321094
137.729283359,36.2009898846,133.540693865
137.690319139,36.2852527434,137.593346038
138.80283915,35.339882809,11.8790863756
138.751081045,35.4192989508,15.4531368751
138.699220814,35.4986929664,20.3323555855
138.647257983,35.5780647469,26.4360127928
138.595192077,35.657414183,34.138085131
138.543022617,35.7367411648,43.4603030958
138.490749124,35.8160455815,53.9197572111
138.438371114,35.8953273222,64.5861476588
138.385888104,35.974586275,74.8346588552
138.333299604,36.0538223278,84.8690441072
138.280605128,36.1330353674,95.2579271353
138.227804182,36.2122252806,105.78736866
138.174896273,36.2913919531,115.325139342
138.121880904,36.3705352702,122.993233687
138.068757576,36.4496551167,129.004110343
138.015525789,36.5287513765,134.108660424
137.96218504,36.6078239331,138.771007718
137.908734822,36.6868726693,143.173602435
139.125120759,35.3741184063,11.2377500661
139.113638164,35.4635623035,15.0182985332
139.102130002,35.5530051108,18.9623632899
139.090596134,35.6424468222,23.3234097868
139.079036415,35.7318874316,28.7668515888
139.067450704,35.8213269329,35.5882540394
139.055838855,35.9107653199,42.7437013358
139.044200724,36.0002025865,48.7763895549
139.032536166,36.0896387263,54.3821491869
139.020845032,36.1790737333,62.7400797266
139.009127176,36.2685076009,75.8946304987
138.997382449,36.3579403229,90.7122800467
138.985610701,36.4473718928,102.472144269
138.973811782,36.5368023043,109.661559293
138.96198554,36.6262315509,114.375745682
138.950131822,36.715659626,118.030995709
139.116470083,35.3802986086,11.4927904167
139.078508394,35.4647426883,15.0979772314
139.040466914,35.5491748573,18.8888633061
139.002345237,35.6335950534,23.1223022497
138.964142956,35.7180032137,28.5906568063
138.925859659,35.8023992753,35.939592948
138.887494933,35.8867831747,44.1540470367
138.849048363,35.9711548483,51.0672734783
138.810519532,36.0555142317,56.1782654802
138.77190802,36.1398612605,62.8482306982
138.733213404,36.2241958698,74.6675211365
138.694435261,36.3085179944,90.197983642
138.655573163,36.3928275685,104.541914675
138.616626682,36.4771245261,114.189803293
138.577595385,36.5614088009,120.180401355
138.538478839,36.6456803259,124.602267546
139.23782434,35.284493662,9.13716746626
139.199908461,35.3689379714,11.1673051096
139.161913168,35.4533704128,14.5734519369
139.12383806,35.537790924,18.2408337742
139.085682729,35.6221994428,22.2856662216
139.047446766,35.7065959062,27.2480408532
139.009129762,35.7909802512,33.7858749202
138.970731304,35.8753524142,41.3834052226
138.932250975,35.9597123314,48.3209187719
138.893688358,36.0440599386,53.3865369013
138.855043035,36.1283951711,59.2171584218
138.816314582,36.2127179639,69.7334621462
138.777502575,36.2970282517,85.0956007386
138.738606588,36.3813259688,100.364487375
138.699626191,36.4656110489,111.232285284
138.660560952,36.5498834256,117.858268743
138.621410438,36.634143032,122.481572508
138.582174212,36.7183898008,126.154059335
139.384801586,35.2393706407,9.36416272258
139.346907207,35.3238150581,10.9513393126
139.308933593,35.4082476275,13.3992116046
139.270880342,35.492668287,16.4655933247
139.232747047,35.5770769742,19.8989323221
139.194533301,35.6614736266,24.0085955732
139.156238695,35.745858181,29.2931322128
139.117862818,35.8302305742,35.8225894847
139.079405253,35.9145907424,42.7256795388
139.040865586,35.9989386214,48.7382939992
139.002243398,36.0832741469,54.1105284675
138.963538267,36.1675972539,61.5417103864
138.924749771,36.2519078772,73.8493533095
138.885877482,36.3362059513,89.1849701952
138.846920975,36.4204914101,102.799025759
138.807879817,36.5047641872,111.75239696
138.768753576,36.5890242159,117.39441103
138.729541817,36.673271429,122.012938155
139.577058206,35.1088867939,9.46838970686
139.539264365,35.1933430875,10.728373618
139.501391869,35.277787615,12.1589341089
