lon,lat,depth,unc,etype,mag
130.3730,-5.1760,78.3000,nan,ER,5.8000
128.0530,-7.3850,155.3000,nan,ER,5.1000
129.2040,-7.2350,127.3000,nan,ER,5.3000
130.3260,-6.3190,106.1000,nan,ER,5.2000
129.0060,-7.2510,144.6000,nan,ER,4.7000
129.9710,-6.4390,149.3000,nan,ER,4.7000
118.2830,-9.2270,92.0000,nan,ER,5.0000
124.4150,-7.2070,562.7000,nan,ER,4.7000
130.3340,-6.1720,134.4000,nan,ER,5.2000
129.4170,-6.9050,161.6000,nan,ER,5.4000
128.4730,-3.8120,115.8000,nan,ER,5.5000
125.4190,-6.9720,522.4000,nan,ER,4.8000
128.4070,-7.3540,143.1000,nan,ER,5.3000
129.4230,-7.0060,116.1000,nan,ER,5.3000
127.3180,-7.7460,110.3000,nan,ER,4.7000
122.4080,-8.9810,87.3000,nan,ER,5.3000
130.3220,-7.1520,60.2000,nan,ER,5.0000
130.0410,-6.4530,134.7000,nan,ER,5.5000
125.0650,-6.9720,528.9000,nan,ER,4.5000
130.0100,-6.5140,159.5000,nan,ER,4.8000
124.3190,-7.1130,601.2000,nan,ER,5.8000
129.2290,-6.9270,156.9000,nan,ER,5.1000
129.9840,-6.4510,116.8000,nan,ER,4.9000
129.4000,-7.1990,121.0000,nan,ER,5.1000
120.3600,-7.1940,569.7000,nan,ER,4.2000
125.3730,-6.9910,477.5000,nan,ER,3.9000
130.9540,-6.3020,75.6000,nan,ER,5.5000
119.8450,-8.1930,172.1000,nan,ER,4.6000
130.2620,-6.1980,180.9000,nan,ER,5.0000
120.7030,-7.4810,634.8000,nan,ER,5.5000
120.1880,-7.3310,416.0000,nan,ER,4.9000
118.8490,-8.9320,70.6000,nan,ER,4.9000
131.8090,-5.0570,82.9000,nan,ER,5.5000
131.7700,-5.0580,50.5000,nan,ER,5.5000
131.5580,-6.0150,59.6000,nan,ER,5.1000
124.2150,-7.0340,605.9000,nan,ER,5.6000
129.5210,-6.9800,127.0000,nan,ER,5.5000
131.0790,-5.5640,64.3000,nan,ER,5.2000
131.1420,-5.5600,108.6000,nan,ER,5.2000
122.8480,-7.9730,210.3000,nan,ER,5.3000
125.3760,-5.8500,555.1000,nan,ER,4.5000
129.3990,-7.1320,143.8000,nan,ER,5.3000
129.2290,-7.1750,128.4000,nan,ER,5.3000
124.2400,-8.8070,103.0000,nan,ER,5.6000
121.6340,-8.5480,153.2000,nan,ER,5.2000
130.3940,-6.7470,69.8000,nan,ER,5.7000
128.4920,-7.4130,149.2000,nan,ER,5.3000
