lon,lat,depth,ID,etype
291.612,18.469,81.0,12467.0,EQ
291.836,18.994,45.0,12469.0,EQ
291.38,18.243,153.0,12471.0,EQ
291.737,18.608,51.0,12474.0,EQ
291.73,18.69,57.0,12475.0,EQ
291.702,18.735,65.0,12476.0,EQ
291.808,18.736,49.0,12477.0,EQ
291.138,18.308,107.0,12478.0,EQ
291.955,18.24,108.0,12480.0,EQ
291.321,18.357,127.0,12483.0,EQ
291.847,18.168,56.0,12486.0,EQ
291.89,18.216,84.0,12487.0,EQ
291.906,18.184,97.0,12488.0,EQ
291.427,18.246,117.0,12490.0,EQ
291.915,18.176,106.0,12491.0,EQ
291.629,18.46,105.0,12493.0,EQ
292.574,18.97,18.0,12497.0,EQ
292.616,18.941,17.0,12498.0,EQ
292.558,18.975,18.0,12499.0,EQ
292.171,18.13,82.0,12501.0,EQ
292.599,18.897,11.0,12502.0,EQ
292.297,18.948,23.0,12503.0,EQ
292.649,18.923,14.0,12504.0,EQ
292.33,18.944,6.0,12505.0,EQ
292.261,18.111,64.0,12506.0,EQ
292.388,18.91,32.0,12507.0,EQ
292.884,18.105,9.0,12508.0,EQ
292.515,18.852,27.0,12509.0,EQ
292.171,18.273,7.0,12511.0,EQ
292.548,18.552,29.0,12512.0,EQ
292.917,18.55,53.0,12513.0,EQ
292.113,18.195,123.0,12514.0,EQ
292.717,18.852,9.0,12515.0,EQ
292.812,18.832,12.0,12516.0,EQ
292.326,18.2,7.0,12517.0,EQ
292.247,18.247,2.0,12521.0,EQ
292.156,18.25,8.0,12522.0,EQ
292.145,18.26,7.0,12523.0,EQ
292.756,18.305,13.0,12524.0,EQ
292.628,18.753,3.0,12525.0,EQ
292.116,18.261,96.0,12526.0,EQ
292.125,18.333,98.0,12527.0,EQ
292.74,18.314,22.0,12529.0,EQ
292.438,18.509,17.0,12530.0,EQ
292.582,18.75,5.0,12531.0,EQ
292.653,18.852,6.0,12534.0,EQ
292.911,18.588,49.0,12535.0,EQ
292.423,18.739,11.0,12539.0,EQ
292.127,18.18,120.0,12541.0,EQ
292.541,18.908,5.0,12544.0,EQ
292.577,18.739,4.0,12546.0,EQ
292.041,18.215,94.0,12548.0,EQ
292.397,18.372,85.0,12549.0,EQ
292.721,18.132,122.0,12550.0,EQ
292.333,18.697,30.0,12551.0,EQ
292.802,18.901,8.0,12552.0,EQ
292.163,18.985,38.0,12553.0,EQ
292.571,18.592,14.0,12554.0,EQ
292.738,18.278,91.0,12559.0,EQ
292.648,18.162,17.0,12560.0,EQ
292.141,18.953,41.0,12561.0,EQ
292.045,18.376,95.0,12562.0,EQ
292.409,18.83,13.0,12563.0,EQ
292.102,18.741,30.0,12564.0,EQ
292.476,18.493,13.0,12567.0,EQ
292.168,18.187,64.0,12569.0,EQ
292.503,18.61,4.0,12570.0,EQ
292.623,18.817,8.0,12571.0,EQ
292.626,18.853,6.0,12572.0,EQ
292.64,18.888,7.0,12573.0,EQ
292.456,18.856,6.0,12575.0,EQ
292.205,18.196,110.0,12576.0,EQ
292.087,18.201,115.0,12578.0,EQ
292.62,18.741,7.0,12579.0,EQ
292.741,18.832,14.0,12580.0,EQ
292.561,18.267,75.0,12581.0,EQ
292.51,18.744,18.0,12583.0,EQ
292.581,18.231,29.0,12587.0,EQ
292.702,18.886,5.0,12592.0,EQ
292.374,18.494,21.0,12593.0,EQ
292.018,18.202,105.0,12594.0,EQ
292.458,18.518,17.0,12595.0,EQ
292.142,18.538,21.0,12596.0,EQ
292.354,18.462,19.0,12597.0,EQ
292.434,18.361,6.0,12598.0,EQ
292.353,18.399,17.0,12599.0,EQ
292.417,18.517,21.0,12600.0,EQ
292.498,18.605,4.0,12601.0,EQ
292.506,18.602,5.0,12602.0,EQ
292.391,18.608,11.0,12603.0,EQ
292.587,18.302,89.0,12605.0,EQ
292.778,18.983,6.0,12607.0,EQ
292.488,18.933,9.0,12608.0,EQ
292.555,18.694,9.0,12611.0,EQ
292.751,18.922,5.0,12612.0,EQ
292.829,18.225,105.0,12614.0,EQ
292.511,18.076,62.0,12615.0,EQ
292.031,18.131,96.0,12616.0,EQ
292.156,18.973,5.0,12618.0,EQ
292.118,18.614,26.0,12619.0,EQ
292.479,18.906,5.0,12620.0,EQ
292.208,18.884,48.0,12621.0,EQ
292.071,18.137,120.0,12622.0,EQ
292.969,18.226,24.0,12623.0,EQ
292.853,18.84,8.0,12624.0,EQ
292.475,18.916,28.0,12625.0,EQ
292.153,18.149,71.0,12626.0,EQ
292.606,18.555,24.0,12629.0,EQ
292.416,18.299,86.0,12630.0,EQ
293.699,18.338,75.0,12634.0,EQ
293.529,18.677,27.0,12635.0,EQ
293.025,18.995,7.0,12638.0,EQ
293.906,18.88,26.0,12639.0,EQ
293.858,18.172,81.0,12640.0,EQ
293.33,18.545,13.0,12641.0,EQ
293.197,18.994,8.0,12647.0,EQ
293.806,18.278,64.0,12654.0,EQ
293.922,18.089,4.0,12656.0,EQ
293.92,18.086,6.0,12657.0,EQ
293.925,18.074,7.0,12658.0,EQ
293.822,18.337,16.0,12660.0,EQ
293.205,18.692,16.0,12661.0,EQ
293.339,18.593,21.0,12666.0,EQ
293.02,18.949,11.0,12676.0,EQ
293.256,18.613,11.0,12680.0,EQ
293.336,18.925,22.0,12686.0,EQ
293.561,18.376,58.0,12687.0,EQ
293.913,18.934,22.0,12693.0,EQ
293.538,18.041,16.0,12694.0,EQ
293.7,18.268,14.0,12695.0,EQ
293.646,18.261,32.0,12698.0,EQ
294.733,18.866,27.0,12703.0,EQ
294.971,18.656,40.0,12704.0,EQ
294.608,18.025,18.0,12708.0,EQ
294.972,18.63,19.0,12710.0,EQ
294.969,18.615,22.0,12711.0,EQ
294.646,18.973,16.0,12715.0,EQ
294.468,18.933,11.0,12717.0,EQ
294.805,18.966,19.0,12718.0,EQ
294.945,18.692,16.0,12720.0,EQ
294.411,18.535,34.0,12725.0,EQ
294.63,18.043,14.0,12727.0,EQ
294.901,18.067,17.45,12730.0,EQ
294.627,18.018,14.0,12731.0,EQ
294.992,18.719,31.0,12734.0,EQ
294.928,18.627,13.0,12735.0,EQ
294.981,18.761,16.0,12737.0,EQ
294.96,18.607,24.0,12739.0,EQ
294.967,18.57,27.0,12740.0,EQ
294.735,18.957,19.0,12741.0,EQ
294.943,18.686,18.0,12747.0,EQ
294.981,18.086,11.0,12749.0,EQ
294.858,18.781,5.0,12752.0,EQ
294.384,18.861,8.0,12754.0,EQ
294.859,18.944,4.0,12756.0,EQ
294.832,18.912,6.0,12757.0,EQ
294.96,18.966,8.0,12758.0,EQ
294.771,18.722,23.0,12762.0,EQ
294.893,18.456,8.0,12770.0,EQ
294.952,18.776,11.0,12773.0,EQ
294.934,18.793,8.0,12776.0,EQ
294.644,18.977,13.0,12777.0,EQ
294.889,18.875,9.0,12778.0,EQ
294.789,18.951,7.0,12781.0,EQ
294.791,18.973,14.0,12782.0,EQ
295.234,18.596,8.0,12794.0,EQ
295.532,18.864,6.0,12799.0,EQ
295.223,18.805,16.0,12817.0,EQ
295.199,18.318,26.0,12818.0,EQ
295.596,18.918,4.0,12819.0,EQ
295.054,18.117,13.0,12826.0,EQ
295.036,18.101,8.0,12827.0,EQ
295.042,18.101,7.0,12828.0,EQ
295.272,18.875,8.0,12832.0,EQ
295.004,18.727,29.0,12834.0,EQ
295.572,18.856,3.0,12837.0,EQ
295.401,18.387,12.0,12854.0,EQ
295.299,18.858,11.0,12855.0,EQ
295.498,18.922,8.0,12860.0,EQ
295.309,18.872,8.0,12865.0,EQ
295.503,18.826,2.0,12866.0,EQ
295.453,18.802,4.0,12870.0,EQ
295.598,18.858,14.0,12872.0,EQ
295.553,18.924,8.0,12874.0,EQ
295.512,18.625,28.0,12882.0,EQ
295.44,18.289,18.0,12883.0,EQ
295.063,18.58,42.0,12894.0,EQ
295.171,18.598,34.0,12895.0,EQ
295.017,18.317,4.0,12897.0,EQ
295.475,18.831,7.0,12898.0,EQ
295.536,18.902,5.0,12922.0,EQ
295.053,18.584,18.0,12925.0,EQ
295.334,18.274,21.0,12927.0,EQ
295.342,18.6,21.0,12933.0,EQ
291.735,19.207,24.0,12969.0,EQ
291.808,19.469,13.0,12986.0,EQ
291.954,19.203,17.0,12990.0,EQ
291.635,19.038,24.0,13005.0,EQ
292.031,19.042,26.0,13010.0,EQ
292.795,19.098,6.0,13018.0,EQ
292.45,19.019,9.0,13020.0,EQ
292.282,19.116,7.0,13039.0,EQ
