lon,lat,depth,strike,dip
128.95,-2.1500000000000004,-282.7954,14.898508,49.177986
129.0,-2.1500000000000004,-288.97305,14.99181,48.815914
129.05,-2.1500000000000004,-295.06247,15.100866,48.421707
129.1,-2.1500000000000004,-301.06494,15.172286,48.077183
129.15,-2.1500000000000004,-307.00485,15.18119,47.780663
129.2,-2.1500000000000004,-312.8832,15.16306,47.479942
129.25,-2.1500000000000004,-318.7002,15.126039,47.174225
129.3,-2.1500000000000004,-324.45602,15.078,46.864662
129.35,-2.1500000000000004,-330.1509,15.027433,46.552223
129.4,-2.1500000000000004,-335.785,14.982407,46.238003
129.45,-2.1500000000000004,-341.35852,14.952232,45.923214
129.5,-2.1500000000000004,-346.8716,14.946077,45.609318
129.55,-2.1500000000000004,-352.3246,14.971574,45.301105
129.6,-2.1500000000000004,-357.71902,15.034981,44.998512
129.65,-2.1500000000000004,-363.05484,15.133657,44.694263
129.7,-2.1500000000000004,-368.331,15.260351,44.384895
129.75,-2.1500000000000004,-373.5465,15.406187,44.068977
129.8,-2.1500000000000004,-378.70032,15.562046,43.745068
129.85,-2.1500000000000004,-383.79144,15.718548,43.411724
129.9,-2.1500000000000004,-388.81885,15.865545,43.06708
129.95,-2.1500000000000004,-393.7815,15.993056,42.70958
130.0,-2.1500000000000004,-398.6784,16.118135,42.288494
130.05,-2.1500000000000004,-403.49054,16.399494,41.64859
130.1,-2.1500000000000004,-408.1582,17.0256,40.941216
130.15,-2.1500000000000004,-412.7069,17.759296,40.42228
130.2,-2.1500000000000004,-417.17102,18.444456,40.107025
130.25,-2.1500000000000004,-421.58496,18.934551,39.978466
130.3,-2.1500000000000004,-425.9832,19.088356,40.01394
130.35,-2.1500000000000004,-430.40005,18.776485,40.189976
130.4,-2.1500000000000004,-434.87,17.883871,40.4877
130.45,-2.1500000000000004,-439.42743,16.313793,40.898563
130.5,-2.1500000000000004,-444.1068,14.213404,40.986797
125.7,-2.1,8.7562275,8.101967,29.281443
125.75,-2.1,5.671938,6.8821006,28.950356
125.8,-2.1,2.6538708,6.720727,28.408066
125.85000000000001,-2.1,-0.29676855,7.3923883,27.893063
125.9,-2.1,-3.1787748,8.73459,27.40535
125.95,-2.1,-5.990943,10.565662,26.948648
126.0,-2.1,-8.732067,12.686138,26.52217
126.05,-2.1,-11.400943,14.88231,26.114685
126.10000000000001,-2.1,-13.996365,16.931168,25.70156
126.15,-2.1,-16.517128,18.637892,25.204992
126.2,-2.1,-18.95197,20.12735,24.26847
126.25,-2.1,-21.220877,21.704311,23.031796
126.3,-2.1,-23.340916,22.991737,22.003778
126.35000000000001,-2.1,-25.354383,23.806343,21.29543
126.4,-2.1,-27.303581,24.09778,20.915407
126.45,-2.1,-29.230806,23.864723,20.872766
126.5,-2.1,-31.17836,23.160896,21.176668
126.55,-2.1,-33.18854,22.088285,21.83446
126.60000000000001,-2.1,-35.303654,20.77882,22.848717
126.65,-2.1,-37.56599,19.74452,23.822052
126.7,-2.1,-39.92111,19.672207,23.968832
126.75,-2.1,-42.217598,20.044308,23.696009
126.8,-2.1,-44.502415,20.045544,23.832817
126.85000000000001,-2.1,-46.828625,19.657063,24.401003
126.9,-2.1,-49.24931,18.928415,25.39146
